Name,Category
Dog,Animal
Cat,Animal
Cow,Animal
Horse,Animal
Pig,Animal
Sheep,Animal
Goat,Animal
Chicken,Animal
Duck,Animal
Goose,Animal
Turkey,Animal
Rabbit,Animal
Hamster,Animal
Guinea Pig,Animal
Ferret,Animal
Parrot,Animal
Canary,Animal
Goldfish,Animal
Turtle,Animal
Frog,Animal
Snake,Animal
Lizard,Animal
Gecko,Animal
Chameleon,Animal
Iguana,Animal
Salamander,Animal
Alligator,Animal
Crocodile,Animal
Lion,Animal
Tiger,Animal
Elephant,Animal
Giraffe,Animal
Zebra,Animal
Hippopotamus,Animal
Rhinoceros,Animal
Kangaroo,Animal
Koala,Animal
Panda,Animal
Leopard,Animal
Cheetah,Animal
Wolf,Animal
Fox,Animal
Bear,Animal
Otter,Animal
Raccoon,Animal
Squirrel,Animal
Skunk,Animal
Badger,Animal
Bat,Animal
Owl,Animal
Eagle,Animal
Hawk,Animal
Falcon,Animal
Penguin,Animal
Seal,Animal
Walrus,Animal
Dolphin,Animal
Whale,Animal
Shark,Animal
Octopus,Animal
Squid,Animal
Jellyfish,Animal
Crab,Animal
Lobster,Animal
Starfish,Animal
Sea Urchin,Animal
Coral,Animal
Butterfly,Animal
Bee,Animal
Wasp,Animal
Ant,Animal
Spider,Animal
Ladybug,Animal
Beetle,Animal
Moth,Animal
Dragonfly,Animal
Grasshopper,Animal
Snail,Animal
Slug,Animal
Earthworm,Animal
Mosquito,Animal
Fly,Animal
Caterpillar,Animal
Centipede,Animal
Millipede,Animal
Camel,Animal
Donkey,Animal
Mule,Animal
Ox,Animal
Reindeer,Animal
Moose,Animal
Caribou,Animal
Hedgehog,Animal
Porcupine,Animal
Armadillo,Animal
Meerkat,Animal
Wombat,Animal
Tapir,Animal
Capybara,Animal
Chimpanzee,Animal
Gorilla,Animal
Orangutan,Animal
Baboon,Animal
Lemur,Animal
Mandrill,Animal
