Name,Category
T-Shirt,Clothing
Dress Shirt,Clothing
Blouse,Clothing
Tank Top,Clothing
Sweater,Clothing
Cardigan,Clothing
Hoodie,Clothing
Jacket,Clothing
Blazer,Clothing
Coat,Clothing
Trench Coat,Clothing
Raincoat,Clothing
Denim Jacket,Clothing
Leather Jacket,Clothing
Puffer Jacket,Clothing
Jeans,Clothing
Trousers,Clothing
Chinos,Clothing
Leggings,Clothing
Shorts,Clothing
Capri Pants,Clothing
Cargo Pants,Clothing
Sweatpants,Clothing
Skirt,Clothing
Mini Skirt,Clothing
Maxi Skirt,Clothing
Pencil Skirt,Clothing
Dress,Clothing
Evening Gown,Clothing
Sundress,Clothing
Suit,Clothing
Tuxedo,Clothing
Overalls,Clothing
Jumpsuit,Clothing
Tracksuit,Clothing
Bikini,Clothing
One-Piece Swimsuit,Clothing
Board Shorts,Clothing
Swim Trunks,Clothing
Bra,Clothing
Panties,Clothing
Boxers,Clothing
Briefs,Clothing
Sports Bra,Clothing
Lingerie,Clothing
Thermal Underwear,Clothing
Undershirt,Clothing
Socks,Clothing
Stockings,Clothing
Tights,Clothing
Compression Socks,Clothing
Hat,Clothing
Cap,Clothing
Beanie,Clothing
Fedora,Clothing
Sun Hat,Clothing
Bucket Hat,Clothing
Scarf,Clothing
Gloves,Clothing
Mittens,Clothing
Belt,Clothing
Suspenders,Clothing
Shoes,Clothing
Sneakers,Clothing
Boots,Clothing
Sandals,Clothing
Loafers,Clothing
Heels,Clothing
Slippers,Clothing
Flip Flops,Clothing
Clogs,Clothing
Dress Shoes,Clothing
Pajamas,Clothing
Nightgown,Clothing
Robe,Clothing
Bathrobe,Clothing
Sleep Shorts,Clothing
Sleep Shirt,Clothing
Workwear,Clothing
Uniform,Clothing
Apron,Clothing
Lab Coat,Clothing
Scrubs,Clothing
Chef Coat,Clothing
Coveralls,Clothing
Hi-Vis Vest,Clothing
