Name,Category
Chair,Household
Table,Household
Sofa,Household
Bed,Household
Desk,Household
Bookshelf,Household
Lamp,Household
Fan,Household
Ceiling Light,Household
Floor Lamp,Household
Clock,Household
Mirror,Household
Curtains,Household
Blinds,Household
Carpet,Household
Rug,Household
Door Mat,Household
Doormat,Household
Cushion,Household
Pillow,Household
Blanket,Household
Comforter,Household
Duvet,Household
Mattress,Household
Wardrobe,Household
Drawer,Household
Cabinet,Household
Cupboard,Household
Shelf,Household
Television,Household
Remote Control,Household
Router,Household
Speaker,Household
Headphones,Household
Laptop,Household
Phone Charger,Household
Power Strip,Household
Vacuum Cleaner,Household
Broom,Household
Dustpan,Household
Mop,Household
Bucket,Household
Cleaning Spray,Household
Detergent,Household
Laundry Basket,Household
Iron,Household
Ironing Board,Household
Dish Rack,Household
Trash Can,Household
Recycling Bin,Household
Toilet Brush,Household
Plunger,Household
Toilet Paper,Household
Paper Towels,Household
Soap Dispenser,Household
Towel,Household
Hand Towel,Household
Bath Towel,Household
Shower Curtain,Household
Shampoo,Household
Conditioner,Household
Body Wash,Household
Toothbrush,Household
Toothpaste,Household
Razor,Household
Hair Dryer,Household
Comb,Household
Scissors,Household
Measuring Tape,Household
Sewing Kit,Household
Toolbox,Household
Hammer,Household
Screwdriver,Household
Wrench,Household
Nails,Household
Tape,Household
Glue,Household
Flashlight,Household
Battery,Household
Extension Cord,Household
Notepad,Household
Pen,Household
Pencil,Household
Eraser,Household
Stapler,Household
Calculator,Household
Mug,Household
Plate,Household
Bowl,Household
Fork,Household
Spoon,Household
Knife,Household
Water Bottle,Household
Pitcher,Household
Frying Pan,Household
Saucepan,Household
Pot,Household
Lid,Household
Colander,Household
Cutting Board,Household
Can Opener,Household
Peeler,Household
Grater,Household
Toaster,Household
Microwave,Household
Kettle,Household
Coffee Maker,Household
Blender,Household
Oven Mitts,Household
Measuring Cups,Household
Timer,Household
Ziploc Bags,Household
Plastic Wrap,Household
Aluminum Foil,Household
Dish Soap,Household
Sponge,Household
